SURVEY	YEAR	SITE	BLOCK	TREATMENT	PLOT	ID	HEIGHT	AXIS1	AXIS2	CIRC	FLOWERS	BUDS	FRUITS	ANT
1	2012	SOUTH	1	TOTAL	S1TOTAL	581	2.25	2.75	2.15	20	0	0	10	CS
1	2012	SOUTH	1	TOTAL	S1TOTAL	582	2.65	4.1	3.9	28	0	0	150	TP
1	2012	SOUTH	1	TOTAL	S1TOTAL	3111	1.5	1.7	0.85	17	2	1	50	TP
1	2012	SOUTH	1	TOTAL	S1TOTAL	3112	2.01	1.8	1.6	12	0	0	75	CS
1	2012	SOUTH	1	TOTAL	S1TOTAL	3113	1.75	1.84	1.42	13	0	0	20	CS
1	2012	SOUTH	1	TOTAL	S1TOTAL	3114	1.65	1.62	0.85	15	0	0	0	E
1	2012	SOUTH	1	TOTAL	S1TOTAL	3115	1.2	1.95	0.9	9	0	0	0	CS
1	2012	SOUTH	1	TOTAL	S1TOTAL	3199	1.45	2	1.75	12.2	0	0	25	CS
1	2012	SOUTH	1	MESO	S1MESO	941	1.87	2.15	1.82	13	0	0	0	TP
1	2012	SOUTH	1	MESO	S1MESO	942	2.38	5.55	4.82	35	0	0	50	TP
1	2012	SOUTH	1	MESO	S1MESO	943	2.58	4.9	4.24	24	0	0	5	CS
1	2012	SOUTH	1	MESO	S1MESO	944	2.65	3.75	3.1	27	0	0	60	TP
1	2012	SOUTH	1	MESO	S1MESO	946	2.35	2.34	2.05	20	0	0	60	TP
1	2012	SOUTH	1	MESO	S1MESO	947	1.88	2.1	1.85	28	2	0	60	CS
1	2012	SOUTH	1	MESO	S1MESO	3116	2.32	3.05	2.63	30	2	0	0	CS
1	2012	SOUTH	1	MESO	S1MESO	3117	2.39	2.21	2.1	13	0	0	0	TP
1	2012	SOUTH	1	MESO	S1MESO	3118	2.2	1.8	1.5	10	0	0	0	TP
1	2012	SOUTH	1	MESO	S1MESO	3119	1.05	0.9	0.55	8	0	0	0	CS
1	2012	SOUTH	1	MESO	S1MESO	3120	2	1.25	1.2	10	0	0	0	CM
1	2012	SOUTH	1	MESO	S1MESO	3131	1.28	1.14	1	10	0	0	0	TP
1	2012	SOUTH	2	OPEN	S2OPEN	341	dead							
1	2012	SOUTH	2	TOTAL	S2TOTAL	3178	1.4	2.5	2.15	18	0	0	5	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	101	1.9	3.31	2.65	15	0	0	45	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	102	1.75	2.7	2.55	16	40	50	35	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	103	1.8	2.75	2.3	16	8	2	65	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	104	2.7	4.05	4	35.2	0	0	20	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	105	2.02	2.85	1.49	17	0	0	70	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	108	1.9	3.1	2.85	19	0	0	125	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	109	1.85	2.45	1.9	19	0	0	200	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	110	1.65	1.9	1.54	17	0	0	10	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	111	1.4	2.35	1.45	14	0	0	0	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	113	2.5	3.25	2.3	22	0	0	35	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	115	2.05	5.4	4.5	33	0	0	300	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	116	2.26	3.5	3.1	33	2	2	100	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	117	2.13	2.4	2.3	20	0	0	30	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	118	1.8	3.15	2.55	22	0	0	50	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1211	1.85	2	2.27	20	0	0	10	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	1212	1.5	2.15	1.8	15	0	0	25	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	1213	1.87	2.34	2.05	13	0	0	15	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1214	1.58	1.28	0.75	11	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1215	2.05	2.1	1.75	17	0	0	15	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1216	1.75	2.45	3.28	16	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1217	1.49	1.5	1.45	13	0	0	40	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1218	1.28	2	0.9	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1219	1.49	2.35	1.65	13	0	0	15	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	1220	1.07	1.2	0.95	11	0	0	0	CM
1	2012	SOUTH	2	TOTAL	S2TOTAL	1231	1.48	1.25	1.2	9	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1232	1.25	1.25	0.9	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1233	1.41	1.41	1.4	14	0	0	1	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1234	1.6	1.6	1.3	13	0	0	20	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1235	1.2	1.2	1.3	14	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1236	1.49	1.49	1.2	8	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1237	1.5	1.5	1.5	14	0	0	20	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1238	1.65	1.65	2	20	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1239	1.13	1.13	1.2	10	0	0	0	CN
1	2012	SOUTH	2	TOTAL	S2TOTAL	1240	1.25	1.25	0.9	10	0	0	0	CN
1	2012	SOUTH	2	TOTAL	S2TOTAL	1251	1.1	1.2	1.1	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1252	2.2	2.7	2.4	25	0	0	5	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1253	1.45	1.65	1.25	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1254	1.6	2.45	2.1	13	0	0	25	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1255	1.55	2.4	1.8	13	0	0	25	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1256	1.5	2.4	2.15	13	0	0	20	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1257	1.03	1.2	1	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	1258	2.14	1.9	1.7	13	0	0	10	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	1259	1.2	1.9	1.65	12	1	0	25	CS
1	2012	SOUTH	2	TOTAL	S2TOTAL	1260	1.05	1.1	1	9	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2131	1.8	2.6	2.4	15	0	0	10	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2132	1.2	1	0.95	7	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2133	1.75	1.4	1.1	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2134	1.45	3.1	1.8	10	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2135	1.17	1.2	1.1	5	0	0	0	TP
1	2012	SOUTH	2	TOTAL	S2TOTAL	2136	2.15	3.1	2.58	22	0	0	0	CS
