"label","species_id","genus","species","taxa","ott_name","approximate_match","ott_id","is_synonym","flags"
"Amphispiza_bilineata","AB","Amphispiza","bilineata","Bird","Amphispiza bilineata",FALSE,292646,FALSE,""
"Ammospermophilus_harrisi","AH","Ammospermophilus","harrisi","Rodent","Ammospermophilus harrisii",TRUE,580350,FALSE,""
"Ammodramus_savannarum","AS","Ammodramus","savannarum","Bird","Ammodramus savannarum",FALSE,420998,FALSE,""
"Baiomys_taylori","BA","Baiomys","taylori","Rodent","Baiomys taylori",FALSE,39171,FALSE,""
"Campylorhynchus_brunneicapillus","CB","Campylorhynchus","brunneicapillus","Bird","Campylorhynchus brunneicapillus",FALSE,800237,FALSE,""
"Calamospiza_melanocorys","CM","Calamospiza","melanocorys","Bird","Calamospiza melanocorys",FALSE,948123,FALSE,""
"Callipepla_squamata","CQ","Callipepla","squamata","Bird","Callipepla squamata",FALSE,728092,FALSE,""
"Crotalus_scutalatus","CS","Crotalus","scutalatus","Reptile","Crotalus scutulatus",TRUE,600073,FALSE,""
"Cnemidophorus_tigris","CT","Cnemidophorus","tigris","Reptile","Aspidoscelis tigris",FALSE,690595,TRUE,""
"Cnemidophorus_uniparens","CU","Cnemidophorus","uniparens","Reptile","Aspidoscelis uniparens",FALSE,336153,TRUE,""
"Crotalus_viridis","CV","Crotalus","viridis","Reptile","Crotalus viridis",FALSE,600069,FALSE,""
"Dipodomys_merriami","DM","Dipodomys","merriami","Rodent","Dipodomys merriami",FALSE,37456,FALSE,""
"Dipodomys_ordii","DO","Dipodomys","ordii","Rodent","Dipodomys ordii",FALSE,917328,FALSE,""
"Dipodomys_spectabilis","DS","Dipodomys","spectabilis","Rodent","Dipodomys spectabilis",FALSE,748116,FALSE,""
"Dipodomys_sp.","DX","Dipodomys","sp.","Rodent",NA,NA,NA,NA,NA
"Eumeces_obsoletus","EO","Eumeces","obsoletus","Reptile","Plestiodon obsoletus",FALSE,993927,TRUE,"sibling_higher"
"Gambelia_silus","GS","Gambelia","silus","Reptile","Gambelia sila",FALSE,760473,TRUE,""
"Neotoma_albigula","NL","Neotoma","albigula","Rodent","Neotoma albigula",FALSE,156843,FALSE,""
"Neotoma_sp.","NX","Neotoma","sp.","Rodent","Geotoga sp.",TRUE,7040633,FALSE,"not_otu"
"Onychomys_leucogaster","OL","Onychomys","leucogaster","Rodent","Onychomys leucogaster",FALSE,427266,FALSE,""
"Onychomys_torridus","OT","Onychomys","torridus","Rodent","Onychomys torridus",FALSE,1004154,FALSE,""
"Onychomys_sp.","OX","Onychomys","sp.","Rodent",NA,NA,NA,NA,NA
"Chaetodipus_baileyi","PB","Chaetodipus","baileyi","Rodent","Chaetodipus baileyi",FALSE,764435,FALSE,""
"Pipilo_chlorurus","PC","Pipilo","chlorurus","Bird","Pipilo chlorurus",FALSE,463020,FALSE,""
"Peromyscus_eremicus","PE","Peromyscus","eremicus","Rodent","Peromyscus eremicus",FALSE,576102,FALSE,""
"Perognathus_flavus","PF","Perognathus","flavus","Rodent","Perognathus flavus",FALSE,1024543,FALSE,""
"Pooecetes_gramineus","PG","Pooecetes","gramineus","Bird","Pooecetes gramineus",FALSE,765407,FALSE,""
"Perognathus_hispidus","PH","Perognathus","hispidus","Rodent","Chaetodipus hispidus",FALSE,427276,TRUE,""
"Chaetodipus_intermedius","PI","Chaetodipus","intermedius","Rodent","Chaetodipus intermedius",FALSE,374303,FALSE,""
"Peromyscus_leucopus","PL","Peromyscus","leucopus","Rodent","Peromyscus leucopus",FALSE,764828,FALSE,""
"Peromyscus_maniculatus","PM","Peromyscus","maniculatus","Rodent","Peromyscus maniculatus",FALSE,377525,FALSE,""
"Chaetodipus_penicillatus","PP","Chaetodipus","penicillatus","Rodent","Chaetodipus penicillatus",FALSE,1004164,FALSE,""
"Pipilo_fuscus","PU","Pipilo","fuscus","Bird","Kieneria fusca",FALSE,463029,TRUE,""
"Chaetodipus_sp.","PX","Chaetodipus","sp.","Rodent","Chaetonotus sp.",TRUE,83213,FALSE,"not_otu, incertae_sedis"
"Reithrodontomys_fulvescens","RF","Reithrodontomys","fulvescens","Rodent","Reithrodontomys fulvescens",FALSE,39181,FALSE,""
"Reithrodontomys_megalotis","RM","Reithrodontomys","megalotis","Rodent","Reithrodontomys megalotis",FALSE,732037,FALSE,""
"Reithrodontomys_montanus","RO","Reithrodontomys","montanus","Rodent","Reithrodontomys montanus",FALSE,208412,FALSE,""
"Reithrodontomys_sp.","RX","Reithrodontomys","sp.","Rodent","Reithrodontomys",TRUE,732029,FALSE,""
"Sylvilagus_audubonii","SA","Sylvilagus","audubonii","Rabbit","Sylvilagus audubonii",FALSE,532394,FALSE,""
"Spizella_breweri","SB","Spizella","breweri","Bird","Spizella breweri",FALSE,463034,FALSE,""
"Sceloporus_clarki","SC","Sceloporus","clarki","Reptile","Sceloporus clarkii",FALSE,624292,TRUE,""
"Sigmodon_fulviventer","SF","Sigmodon","fulviventer","Rodent","Sigmodon fulviventer",FALSE,646440,FALSE,""
"Sigmodon_hispidus","SH","Sigmodon","hispidus","Rodent","Sigmodon hispidus",FALSE,576095,FALSE,""
"Sigmodon_ochrognathus","SO","Sigmodon","ochrognathus","Rodent","Sigmodon ochrognathus",FALSE,39197,FALSE,""
"Spermophilus_spilosoma","SS","Spermophilus","spilosoma","Rodent","Xerospermophilus spilosoma",FALSE,121776,TRUE,""
